candidate_id	status	top_cluster_id	top_cluster_frames	top_cluster_population_percent	detail
LiD3-Flex	clustered	1	88	4.40	/root/LiSPER_remote/LiSPER_8cand_LiCl/systems/LiD3-Flex/gromacs/cluster_20ns/representative_top_cluster.pdb
LiND-Hybrid	clustered	1	258	12.89	/root/LiSPER_remote/LiSPER_8cand_LiCl/systems/LiND-Hybrid/gromacs/cluster_20ns/representative_top_cluster.pdb
