candidate	status	ns_completed	target_ns	step	last_checked_cst
LiD3-Core	running	13.610	20	6805000	2026-06-21 15:06
LiD3-Flex	running	8.980	20	4490000	2026-06-21 15:06
LiND-Hybrid	running	8.950	20	4475000	2026-06-21 15:06
LiLC-1	running	13.760	20	6880000	2026-06-21 15:06
LiDS-1	clustered	20.000	20	10000000	2026-06-21 15:06
LiDA-1	clustered	20.000	20	10000000	2026-06-21 15:06
LiN3-Core	running	13.830	20	6915000	2026-06-21 15:06
LiA3-Ref	running	13.490	20	6745000	2026-06-21 15:06
