ion	candidate	window	file	bytes	verification
LiCl	LiD3-Flex	window_008_0.85nm	umbrella.xtc	495235764	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_015_1.38nm	umbrella_eq.xtc	123994648	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Flex	window_015_1.38nm	umbrella.xtc	495235812	finished_mdrun+final_gro+critical_sha256
LiCl	LiND-Hybrid	window_001_0.61nm	umbrella_eq.xtc	124044512	finished_mdrun+final_gro+critical_sha256
LiCl	LiND-Hybrid	window_001_0.61nm	umbrella.xtc	495435180	finished_mdrun+final_gro+critical_sha256
LiCl	LiND-Hybrid	window_000_0.54nm	umbrella_eq.xtc	124044012	finished_mdrun+final_gro+critical_sha256
LiCl	LiND-Hybrid	window_000_0.54nm	umbrella.xtc	495433356	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_020_1.63nm	umbrella_eq.xtc	35483964	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_020_1.63nm	umbrella.xtc	141724988	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_021_1.70nm	umbrella_eq.xtc	35484052	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_021_1.70nm	umbrella.xtc	141723804	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_018_1.48nm	umbrella_eq.xtc	35483708	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_018_1.48nm	umbrella.xtc	141723424	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_024_1.93nm	umbrella_eq.xtc	35482888	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_024_1.93nm	umbrella.xtc	141722080	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_016_1.33nm	umbrella_eq.xtc	35484600	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_016_1.33nm	umbrella.xtc	141723312	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_026_2.08nm	umbrella_eq.xtc	35483632	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_026_2.08nm	umbrella.xtc	141722664	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_019_1.55nm	umbrella_eq.xtc	35484084	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_019_1.55nm	umbrella.xtc	141724452	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_015_1.25nm	umbrella_eq.xtc	35483664	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_015_1.25nm	umbrella.xtc	141723692	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_023_1.85nm	umbrella_eq.xtc	35484008	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_023_1.85nm	umbrella.xtc	141724608	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_022_1.78nm	umbrella_eq.xtc	35482992	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_022_1.78nm	umbrella.xtc	141724768	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_025_2.00nm	umbrella_eq.xtc	35483112	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_025_2.00nm	umbrella.xtc	141723436	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_017_1.40nm	umbrella_eq.xtc	35485132	finished_mdrun+final_gro+critical_sha256
LiCl	LiDA-1	window_017_1.40nm	umbrella.xtc	141725020	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_012_0.98nm	umbrella_eq.xtc	79956192	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_012_0.98nm	umbrella.xtc	319348308	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_011_0.91nm	umbrella_eq.xtc	79956304	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_011_0.91nm	umbrella.xtc	319348540	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_007_0.61nm	umbrella_eq.xtc	79956500	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_007_0.61nm	umbrella.xtc	319346768	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_000_0.08nm	umbrella_eq.xtc	79956836	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_000_0.08nm	umbrella.xtc	319345988	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_013_1.06nm	umbrella_eq.xtc	79956508	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_013_1.06nm	umbrella.xtc	319348468	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_005_0.46nm	umbrella_eq.xtc	79957160	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_005_0.46nm	umbrella.xtc	319347040	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_003_0.31nm	umbrella_eq.xtc	79956600	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_003_0.31nm	umbrella.xtc	319349468	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_008_0.68nm	umbrella_eq.xtc	79956332	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_008_0.68nm	umbrella.xtc	319347884	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_009_0.76nm	umbrella_eq.xtc	79956512	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_009_0.76nm	umbrella.xtc	319349728	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_001_0.16nm	umbrella_eq.xtc	79956320	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_001_0.16nm	umbrella.xtc	319353572	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_004_0.38nm	umbrella_eq.xtc	79957268	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_004_0.38nm	umbrella.xtc	319346892	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_006_0.53nm	umbrella_eq.xtc	79957192	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_006_0.53nm	umbrella.xtc	319350184	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_002_0.23nm	umbrella_eq.xtc	79957064	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_002_0.23nm	umbrella.xtc	319347056	finished_mdrun+final_gro+critical_sha256
LiCl	LiD3-Core	window_010_0.83nm	umbrella_eq.xtc	79956328	finished_mdrun+final_gro+critical_sha256
