condition	track_group	files	archive_sha256	local_state
LiCl	refined_v2	1438	dbfdcacd31a97c6b2471adb7cfd5dd1107d1f2c986e05ac78a8f6ece66f5a07d	extracted_verified
NaCl	production_worker_refined_v2	1573	8ae39f54a65debd56c6b1dec1dc1647fc7c5e97a77e95959a9327b49fa2776ad	extracted_verified
NaCl	overflow_worker_refined_v2	228	bd25375b50a599e3891e7c7204a00eaf48a39aa9592050758d506d74bbacfbcb	extracted_verified
