analysis	bins	empty_bins	weak_or_single_window_bins	multi_window_bins	min_z_nm	min_kjmol	max_z_nm	max_kjmol	last_kjmol	last5_mean_kjmol	delta_last5_minus_min_kjmol	barrier_max_minus_min_kjmol
bins_100	100	0	9	91	0.535931	-2.610081	2.787702	33.198990	33.198990	30.843354	33.453435	35.809071
bins_75	75	0	7	68	0.532022	-0.904482	1.407710	34.517730	32.174560	31.948084	32.852566	35.422212
bins_50	50	0	4	46	0.524203	-0.936071	1.415529	34.552060	31.346740	31.949082	32.885153	35.488131
timeslice_b100	100	0	9	91	0.535931	-2.610081	2.787702	33.198990	33.198990	30.843354	33.453435	35.809071
timeslice_b250	100	0	9	91	0.559387	-1.836794	1.286521	32.854740	32.448170	30.427826	32.264620	34.691534
timeslice_b500	100	0	9	91	0.535931	-0.900478	1.286521	32.015280	30.029590	28.705142	29.605620	32.915758
bootstrap_100bins_b100	100	0	9	91	0.535931	-2.610081	2.787702	33.198990	33.198990	30.843354	33.453435	35.809071
