candidate	condition	repair	window_id	source_window	reason
LiDA-1	NaCl	v3_tail_extension	020	window_020_2.68nm	poor_sampling_tail_bins_197_199_time_slice_shift
LiDA-1	NaCl	v3_tail_extension	021	window_021_2.75nm	poor_sampling_tail_bins_197_199_time_slice_shift
LiDA-1	NaCl	v3_tail_extension	019	window_019_2.60nm	queued_if_slot_opens
