analysis	bins	empty_bins	weak_or_single_window_bins	multi_window_bins	min_z_nm	min_kjmol	max_z_nm	max_kjmol	last_kjmol	last5_mean_kjmol	delta_last5_minus_min_kjmol	barrier_max_minus_min_kjmol
bins_100	100	0	1	99	2.916258	-0.500199	1.230010	4.542937	-0.500199	1.524328	2.024527	5.043136
bins_75	75	0	1	74	2.913268	-0.425416	1.262898	3.129123	-0.425416	0.450400	0.875816	3.554539
bins_50	50	0	0	50	2.907288	-0.812173	1.256919	2.917969	-0.812173	0.234658	1.046831	3.730142
timeslice_b100	100	0	1	99	2.916258	-0.500199	1.230010	4.542937	-0.500199	1.524328	2.024527	5.043136
timeslice_b250	100	0	1	99	2.916258	-1.302760	1.230010	4.211446	-1.302760	0.869345	2.172105	5.514206
timeslice_b500	100	0	3	97	2.916258	-2.108934	1.194133	4.274585	-2.108934	0.865895	2.974829	6.383519
bootstrap_100bins_b100	100	0	1	99	2.916258	-0.500199	1.230010	4.542937	-0.500199	1.524328	2.024527	5.043136
