analysis	bins	empty_bins	weak_or_single_window_bins	multi_window_bins	min_z_nm	min_kjmol	max_z_nm	max_kjmol	last_kjmol	last5_mean_kjmol	delta_last5_minus_min_kjmol	barrier_max_minus_min_kjmol
bins_100	100	2	12	86	3.326523	-6.239551	1.398488	0.931528	0.158013	-1.764936	4.474615	7.171079
bins_75	75	1	10	64	3.336671	-8.009163	1.388340	0.407448	-0.177109	-2.794686	5.214477	8.416611
bins_50	50	1	5	44	3.316376	-4.244679	3.356966	0.377315	0.377315	-2.278574	1.966105	4.621994
timeslice_b100	100	2	12	86	3.326523	-6.239551	1.398488	0.931528	0.158013	-1.764936	4.474615	7.171079
timeslice_b250	100	0	11	89	3.217812	-3.684630	1.396704	2.322645	-1.651928	-2.384975	1.299655	6.007275
timeslice_b500	100	0	11	89	3.256975	-1.859439	1.396704	2.653793	-0.811522	-0.679564	1.179875	4.513232
bootstrap_100bins_b100	100	2	12	86	3.326523	-6.239551	1.398488	0.931528	0.158013	-1.764936	4.474615	7.171079
