candidate_id	status	top_cluster_id	top_cluster_frames	top_cluster_population_percent	detail
LiA3-Ref	clustered	1	147	7.35	/root/LiSPER_remote/LiSPER_8cand_NaCl_prod_worker/systems/LiA3-Ref/gromacs/cluster_20ns/representative_top_cluster.pdb
LiD3-Core	clustered	1	207	10.34	/root/LiSPER_remote/LiSPER_8cand_NaCl_prod_worker/systems/LiD3-Core/gromacs/cluster_20ns/representative_top_cluster.pdb
