candidate	status	ns_completed	target_ns	step	last_checked_cst
LiD3-Core	clustered_gcp	20.000	20	10000000	2026-07-02 06:49
LiD3-Flex	clustered_gcp	20.000	20	10000000	2026-07-02 06:49
LiND-Hybrid	running_gcp_backfill	15.690	20	7845000	2026-07-02 06:49
LiLC-1	clustered_gcp	20.000	20	10000000	2026-07-02 06:49
LiDS-1	clustered_gcp	20.000	20	10000000	2026-07-02 06:49
LiDA-1	clustered_gcp	20.000	20	10000000	2026-07-02 06:49
LiN3-Core	clustered_gcp	20.000	20	10000000	2026-07-02 06:49
LiA3-Ref	clustered_gcp	20.000	20	10000000	2026-07-02 06:49
