candidate_id	condition	status
LiA3-Ref	NaCl	ready
LiD3-Core	NaCl	ready
LiD3-Flex	NaCl	ready
LiDA-1	NaCl	ready
LiDS-1	NaCl	ready
LiLC-1	NaCl	ready
LiND-Hybrid	NaCl	ready
LiN3-Core	NaCl	ready
